Idioma,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
pinyin,0.0,0.0,0,Novembro,11,2007
english,190.0,401.0,591,Novembro,11,2007
portuguese,90.0,142.0,232,Dezembro,12,2007
french,6.0,30.0,36,Dezembro,12,2007
farsi,0.0,6.0,6,Dezembro,12,2007
swedish,0.0,0.0,0,Dezembro,12,2007
russian,9.0,5.0,14,Dezembro,12,2007
german,3.0,1.0,4,Dezembro,12,2007
spanish,9.0,0.0,9,Dezembro,12,2007
dutch,0.0,0.0,0,Dezembro,12,2007
pinyin,0.0,0.0,0,Dezembro,12,2007
english,210.0,319.0,529,Dezembro,12,2007
portuguese,83.0,129.0,212,Janeiro,1,2008
french,16.0,52.0,68,Janeiro,1,2008
farsi,0.0,0.0,0,Janeiro,1,2008
swedish,0.0,0.0,0,Janeiro,1,2008
russian,13.0,9.0,22,Janeiro,1,2008
german,1.0,4.0,5,Janeiro,1,2008
spanish,20.0,5.0,25,Janeiro,1,2008
dutch,1.0,0.0,1,Janeiro,1,2008
pinyin,0.0,0.0,0,Janeiro,1,2008
english,326.0,325.0,651,Janeiro,1,2008
portuguese,68.0,135.0,203,Fevereiro,2,2008
french,8.0,18.0,26,Fevereiro,2,2008
farsi,0.0,0.0,0,Fevereiro,2,2008
swedish,0.0,0.0,0,Fevereiro,2,2008
russian,9.0,9.0,18,Fevereiro,2,2008
german,2.0,6.0,8,Fevereiro,2,2008
spanish,3.0,4.0,7,Fevereiro,2,2008
dutch,1.0,0.0,1,Fevereiro,2,2008
pinyin,0.0,0.0,0,Fevereiro,2,2008
english,290.0,183.0,473,Fevereiro,2,2008
portuguese,116.0,110.0,226,Março,3,2008
french,10.0,3.0,13,Março,3,2008
farsi,1.0,0.0,1,Março,3,2008
swedish,0.0,0.0,0,Março,3,2008
russian,6.0,11.0,17,Março,3,2008
german,2.0,2.0,4,Março,3,2008
spanish,8.0,2.0,10,Março,3,2008
dutch,2.0,0.0,2,Março,3,2008
pinyin,0.0,0.0,0,Março,3,2008
english,223.0,193.0,416,Março,3,2008
portuguese,109.0,114.0,223,Abril,4,2008
french,9.0,1.0,10,Abril,4,2008
farsi,1.0,0.0,1,Abril,4,2008
swedish,0.0,0.0,0,Abril,4,2008
russian,10.0,15.0,25,Abril,4,2008
german,0.0,0.0,0,Abril,4,2008
spanish,9.0,2.0,11,Abril,4,2008
dutch,1.0,0.0,1,Abril,4,2008
pinyin,0.0,0.0,0,Abril,4,2008
english,292.0,280.0,572,Abril,4,2008
portuguese,95.0,97.0,192,Maio,5,2008
french,10.0,7.0,17,Maio,5,2008
farsi,0.0,0.0,0,Maio,5,2008
swedish,0.0,0.0,0,Maio,5,2008
russian,14.0,14.0,28,Maio,5,2008
german,3.0,1.0,4,Maio,5,2008
spanish,7.0,0.0,7,Maio,5,2008
dutch,3.0,2.0,5,Maio,5,2008
pinyin,0.0,0.0,0,Maio,5,2008
english,307.0,209.0,516,Maio,5,2008
portuguese,142.0,297.0,439,Junho,6,2008
french,17.0,29.0,46,Junho,6,2008
farsi,0.0,0.0,0,Junho,6,2008
