Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
uol.com.br,32.0,20.0,52,Dezembro,12,2007
imagebam.com,7.0,18.0,25,Dezembro,12,2007
imgsrc.ru,9.0,8.0,17,Dezembro,12,2007
youtube.com,18.0,10.0,28,Janeiro,1,2008
powerscrap.com,28.0,0.0,28,Janeiro,1,2008
solsem.org,29.0,4.0,33,Janeiro,1,2008
110mb.com,66.0,60.0,126,Janeiro,1,2008
orkut.com,5614.0,37347.0,42961,Janeiro,1,2008
uol.com.br,42.0,23.0,65,Janeiro,1,2008
chueca.com,16.0,8.0,24,Janeiro,1,2008
lustbare.info,9.0,13.0,22,Janeiro,1,2008
imagefap.com,15.0,0.0,15,Janeiro,1,2008
imgsrc.ru,11.0,18.0,29,Janeiro,1,2008
youtube.com,10.0,3.0,13,Fevereiro,2,2008
imageshack.us,16.0,2.0,18,Fevereiro,2,2008
uploadqueen.com,11.0,6.0,17,Fevereiro,2,2008
usercash.com,25.0,0.0,25,Fevereiro,2,2008
orkut.com,6027.0,31666.0,37693,Fevereiro,2,2008
uol.com.br,35.0,31.0,66,Fevereiro,2,2008
chueca.com,11.0,4.0,15,Fevereiro,2,2008
imagevenue.com,12.0,0.0,12,Fevereiro,2,2008
imagefap.com,17.0,1.0,18,Fevereiro,2,2008
imgsrc.ru,30.0,2.0,32,Fevereiro,2,2008
nijiura.com,5.0,4.0,9,Março,3,2008
youtube.com,23.0,5.0,28,Março,3,2008
dreamwiz.com,6.0,1.0,7,Março,3,2008
ig.com.br,6.0,0.0,6,Março,3,2008
mclt-sites.net,5.0,3.0,8,Março,3,2008
110mb.com,6.0,31.0,37,Março,3,2008
orkut.com,5559.0,34562.0,40121,Março,3,2008
uol.com.br,27.0,15.0,42,Março,3,2008
imagevenue.com,7.0,0.0,7,Março,3,2008
imagefap.com,10.0,1.0,11,Março,3,2008
youtube.com,16.0,3.0,19,Abril,4,2008
orkut.com,6129.0,35645.0,41774,Abril,4,2008
uol.com.br,25.0,19.0,44,Abril,4,2008
magazine-fashion.net,7.0,12.0,19,Abril,4,2008
orkut.com.br,82.0,23.0,105,Abril,4,2008
freewebs.com,7.0,32.0,39,Abril,4,2008
vipzax.com,8.0,1.0,9,Abril,4,2008
imagevenue.com,7.0,5.0,12,Abril,4,2008
imagefap.com,8.0,0.0,8,Abril,4,2008
youtube.com,27.0,10.0,37,Maio,5,2008
lopix.net,7.0,1.0,8,Maio,5,2008
imageshack.us,8.0,0.0,8,Maio,5,2008
google.com,17.0,2.0,19,Maio,5,2008
orkut.com,6407.0,46927.0,53334,Maio,5,2008
uol.com.br,31.0,16.0,47,Maio,5,2008
orkut.com.br,722.0,674.0,1396,Maio,5,2008
vipzax.com,13.0,5.0,18,Maio,5,2008
imgsrc.ru,19.0,5.0,24,Maio,5,2008
youtube.com,43.0,13.0,56,Junho,6,2008
yahoo.com,13.0,0.0,13,Junho,6,2008
rapidshare.com,7.0,10.0,17,Junho,6,2008
uploadqueen.com,21.0,1.0,22,Junho,6,2008
orkut.com,3649.0,35464.0,39113,Junho,6,2008
uol.com.br,68.0,15.0,83,Junho,6,2008
belezaadolescente.blogspot.com,7.0,31.0,38,Junho,6,2008
orkut.com.br,5932.0,23503.0,29435,Junho,6,2008
ucoz.ru,10.0,0.0,10,Junho,6,2008
vipzax.com,9.0,29.0,38,Junho,6,2008
youtube.com,64.0,18.0,82,Julho,7,2008
orkut.com,831.0,23201.0,24032,Julho,7,2008
uol.com.br,113.0,20.0,133,Julho,7,2008
orkut.com.br,8433.0,38855.0,47288,Julho,7,2008
yourfilehost.com,9.0,0.0,9,Julho,7,2008
vipzax.com,11.0,1.0,12,Julho,7,2008
gostosastube.com.br,25.0,7.0,32,Julho,7,2008
imagefap.com,8.0,0.0,8,Julho,7,2008
imgsrc.ru,14.0,1.0,15,Julho,7,2008
youtube.com,11.0,4.0,15,Agosto,8,2008
imageshack.us,5.0,3.0,8,Agosto,8,2008
sexpornhost.com,8.0,3.0,11,Agosto,8,2008
clickgratis.com.br,6.0,0.0,6,Agosto,8,2008
orkut.com,184.0,13218.0,13402,Agosto,8,2008
uol.com.br,85.0,16.0,101,Agosto,8,2008
badongo.com,7.0,0.0,7,Agosto,8,2008
sofuckingfunny.com,6.0,0.0,6,Agosto,8,2008
orkut.com.br,6437.0,36474.0,42911,Agosto,8,2008
imgsrc.ru,12.0,3.0,15,Agosto,8,2008
youtube.com,31.0,4.0,35,Setembro,9,2008
sexypix.biz,8.0,0.0,8,Setembro,9,2008
viplox.com,17.0,1.0,18,Setembro,9,2008
