Ano,Domínio,Únicas,Duplicadas,Total de Denúncias,Mês Número
2010,bp.blogspot.com,77.0,166.0,243,11
2010,brownallbe45.com,21.0,2.0,23,1
2010,ce.ro,60.0,0.0,60,8
2010,co.tv,26.0,32.0,58,6
2010,darkpix.ws,90.0,90.0,180,4
2010,facebook.com,153.0,124.0,277,32
2010,formspring.me,245.0,405.0,650,49
2010,fresh-girls.net,24.0,23.0,47,2
2010,fw.nu,47.0,0.0,47,8
2010,greatestsites.biz,74.0,1.0,75,4
2010,hipersocial.com,25.0,1.0,26,6
2010,imagebam.com,22.0,2.0,24,3
2010,imagefap.com,181.0,5.0,186,12
2010,imgsrc.ru,185.0,55.0,240,42
2010,live.com,149.0,221.0,370,4
2010,livestream.com,104.0,69.0,173,29
2010,msn.com,285.0,3.0,288,5
2010,ning.com,102.0,52.0,154,4
2010,orkut.com,10480.0,36995.0,47475,78
2010,orkut.com.br,37341.0,205652.0,242993,78
2010,otelix.biz,45.0,0.0,45,8
2010,repon.info,52.0,0.0,52,8
2010,tagged.com,20.0,0.0,20,3
2010,terra.com.br,224.0,4.0,228,5
2010,twitpic.com,71.0,785.0,856,11
2010,twitter.com,2290.0,21198.0,23488,52
2010,uol.com.br,563.0,268.0,831,78
2010,wordpress.com,27.0,72.0,99,3
2010,xvideos.com,80.0,53.0,133,14
2010,yahoo.com,101.0,7.0,108,6
2010,youtube.com,988.0,680.0,1668,78
2010,zoofiliadog.blogspot.com,37.0,117.0,154,7
2011,4shared.com,82.0,34.0,116,11
2011,amantezoocba.blogspot.com,45.0,119.0,164,10
2011,extabit.com,26.0,1.0,27,1
2011,facebook.com,4342.0,5180.0,9522,78
2011,formspring.me,126.0,309.0,435,6
2011,google.com,29.0,34.0,63,11
2011,google.com.br,61.0,28.0,89,9
2011,imagearn.com,26.0,2.0,28,3
2011,imagebam.com,82.0,4.0,86,12
2011,imagefap.com,46.0,0.0,46,1
2011,imgsrc.ru,1188.0,494.0,1682,73
2011,imgsru.ru,505.0,2.0,507,27
2011,linkbucks.com,89.0,2.0,91,6
2011,live.com,40.0,5.0,45,9
2011,livestream.com,56.0,24.0,80,3
2011,motherless.com,73.0,31.0,104,15
2011,nm.ru,41.0,0.0,41,4
2011,orkut.co.in,40.0,15.0,55,4
2011,orkut.com,14118.0,2718.0,16836,60
2011,orkut.com.br,23708.0,111998.0,135706,78
2011,sapo.pt,39.0,1.0,40,4
2011,sexoinfantil.blogspot.com,32.0,6177.0,6209,6
2011,silviokoerich.com,418.0,33636.0,34054,42
2011,silviokoerich.org,559.0,29199.0,29758,23
2011,simapedofilia.blogspot.com,46.0,8451.0,8497,10
2011,t.co,123.0,151.0,274,16
2011,tumblr.com,71.0,320.0,391,12
2011,twitpic.com,98.0,695.0,793,5
2011,twitter.com,3575.0,55889.0,59464,78
2011,uol.com.br,119.0,209.0,328,9
2011,videarn.com,71.0,12.0,83,15
2011,wordpress.com,48.0,207.0,255,8
2011,xvideos.com,156.0,110.0,266,39
2011,yahoo.com,100.0,22.0,122,9
2011,youtube.com,1934.0,3989.0,5923,78
2012,aimoo.com,32.0,11.0,43,6
2012,akamaihd.net,72.0,245.0,317,19
2012,ask.fm,1444.0,3736.0,5180,57
2012,co.cc,25.0,11.0,36,5
2012,defesa-hetero.blogspot.com.br,28.0,19.0,47,6
2012,facebook.com,11491.0,31387.0,42878,78
2012,fbcdn.net,21.0,78.0,99,2
2012,google.com,18.0,8.0,26,12
2012,google.com.br,24.0,2.0,26,6
2012,habbo.com.br,31.0,35.0,66,3
2012,imgsrc.ru,753.0,370.0,1123,59
2012,jkpos24pl2r3urlw.onion,31.0,2.0,33,6
2012,kodiefiles.nl,126.0,2.0,128,10
2012,minus.com,112.0,87.0,199,21
2012,motherless.com,60.0,12.0,72,10
2012,orkut.com,210.0,169.0,379,31
2012,orkut.com.br,17842.0,43386.0,61228,78
2012,silviokoerich.org,187.0,5339.0,5526,10
2012,terra.com.br,82.0,51.0,133,8
2012,testosterona.blog.br,23.0,793.0,816,8
2012,tumblr.com,656.0,1504.0,2160,69
2012,twitter.com,2241.0,8574.0,10815,78
2012,uni.me,29.0,5.0,34,10
2012,uol.com.br,47.0,50.0,97,21
2012,wordpress.com,87.0,114.0,201,9
2012,xoxotascaninas.blogspot.com.br,100.0,467.0,567,7
2012,xvideos.com,208.0,127.0,335,37
2012,yahoo.com,137.0,87.0,224,29
2012,youtube.com,1827.0,1392.0,3219,78
2012,zoofboy.blogspot.com.br,52.0,93.0,145,7
2013,akamaihd.net,39.0,27.0,66,8
2013,ask.fm,994.0,1765.0,2759,59
2013,bing.com,23.0,7.0,30,2
2013,bufalo.info,114.0,1184.0,1298,17
2013,dropbox.com,76.0,76.0,152,22
2013,facebook.com,17200.0,44989.0,62189,78
2013,fbcdn.net,23.0,10.0,33,3
2013,fc2.com,34.0,12.0,46,4
2013,globo.com,142.0,90.0,232,18
2013,google.com.br,35.0,51.0,86,7
2013,habbo.com.br,233.0,151.0,384,1
2013,homemdebem.org,446.0,35211.0,35657,30
2013,imgsrc.ru,69.0,14.0,83,23
2013,mundorealista.com,103.0,892.0,995,19
2013,orkut.com,37.0,12.0,49,11
2013,orkut.com.br,10375.0,64768.0,75143,78
2013,pega-nelas.blogspot.com.br,182.0,350.0,532,1
2013,putariaemoff.net,33.0,1.0,34,3
2013,sexibl.com,942.0,310.0,1252,47
2013,terra.com.br,241.0,513.0,754,42
2013,tumblr.com,347.0,442.0,789,33
2013,twitter.com,1598.0,3034.0,4632,78
2013,vk.com,328.0,40.0,368,30
2013,xvideos.com,896.0,411.0,1307,78
2013,yahoo.com,107.0,11.0,118,10
2013,youtube.com,1871.0,9927.0,11798,78
2014,akamaihd.net,124.0,175.0,299,21
2014,anuncios-classificados.net,48.0,12.0,60,6
2014,ask.fm,35.0,82.0,117,1
2014,dropbox.com,225.0,66.0,291,46
2014,facebook.com,29202.0,35634.0,64836,78
2014,fbcdn.net,93.0,192.0,285,22
2014,globo.com,62.0,23.0,85,7
2014,google.com,251.0,67.0,318,57
2014,google.com.br,77.0,109.0,186,32
2014,grandegaroto.com.br,33.0,16.0,49,3
2014,homemdebem.org,82.0,19280.0,19362,1
2014,imgsrc.ru,37.0,6.0,43,7
2014,imgur.com,136.0,105.0,241,21
2014,instagram.com,141.0,34.0,175,10
2014,jimdo.com,37.0,3750.0,3787,6
2014,motherless.com,75.0,7.0,82,3
2014,novinhas.tv,26.0,3.0,29,8
2014,orkut.com.br,3938.0,12734.0,16672,45
2014,pixs.ru,23.0,0.0,23,11
2014,spoiledvirgins.com,33.0,21.0,54,12
2014,terra.com.br,518.0,558.0,1076,66
2014,tioastolfo.com,44.0,2201.0,2245,11
2014,tumblr.com,306.0,6596.0,6902,38
2014,twitter.com,2551.0,2757.0,5308,78
2014,uol.com.br,32.0,31.0,63,8
2014,vk.com,25.0,2.0,27,4
2014,wordpress.com,127.0,8042.0,8169,14
2014,xnxx.com,29.0,5.0,34,8
2014,xvideos.com,1653.0,945.0,2598,78
2014,youtube.com,1663.0,4020.0,5683,78
2015,boyvidsthnubdaub.onion,32.0,1.0,33,1
2015,doloresaronovich.com,50.0,2354.0,2404,11
2015,dropbox.com,33.0,15.0,48,2
2015,facebook.com,19961.0,47940.0,67901,78
2015,firstanalquest.com,28.0,7.0,35,6
2015,globo.com,519.0,352.0,871,72
2015,google.com,299.0,197.0,496,54
2015,google.com.br,138.0,15.0,153,15
2015,imgsrc.ru,162.0,69.0,231,43
2015,imgur.com,28.0,32.0,60,6
2015,instagram.com,539.0,5862.0,6401,47
2015,midiamax.com.br,29.0,0.0,29,5
2015,nomesbrasil.com,31.0,444.0,475,5
2015,novinhobareback.blogspot.com.br,161.0,201.0,362,1
2015,photosugar.com,74.0,0.0,74,21
2015,pornhub.com,33.0,18.0,51,2
2015,socialcam.com,567.0,184.0,751,26
2015,socialdub.com,395.0,8635.0,9030,42
2015,t.co,30.0,44.0,74,12
2015,terra.com.br,32.0,55.0,87,12
2015,tioastolfo.com,135.0,25936.0,26071,11
2015,tumblr.com,36.0,21.0,57,9
2015,twitter.com,2909.0,5107.0,8016,78
2015,uol.com.br,75.0,121.0,196,24
2015,wordpress.com,86.0,1940.0,2026,11
2015,xvideos.com,1732.0,1017.0,2749,78
2015,yadi.sk,233.0,14.0,247,26
2015,youtu.be,48.0,32.0,80,4
2015,youtube.com,1604.0,2114.0,3718,78
2016,dropbox.com,185.0,67.0,252,48
2016,facebook.com,18778.0,41685.0,60463,78
2016,fbcdn.net,55.0,32.0,87,5
2016,globo.com,472.0,663.0,1135,45
2016,google.com,98.0,52.0,150,7
2016,google.com.br,392.0,233.0,625,68
2016,imgsrc.ru,207.0,86.0,293,46
2016,instagram.com,367.0,324.0,691,68
2016,mail.ru,93.0,17.0,110,27
2016,mallandrinhas.net,32.0,20.0,52,2
2016,pornhub.com,202.0,65.0,267,43
2016,reisdocamarote.org,70.0,11388.0,11458,1
2016,t.co,45.0,296.0,341,5
2016,terra.com.br,39.0,18.0,57,11
2016,tumblr.com,167.0,73.0,240,17
2016,twitter.com,2684.0,6500.0,9184,78
2016,uol.com.br,27.0,24.0,51,4
2016,vitorrentz.in,36.0,16.0,52,7
2016,xhamster.com,24.0,0.0,24,3
2016,xnxx.com,22.0,5.0,27,10
2016,xvideos.com,1412.0,814.0,2226,78
2016,yahoo.com,230.0,146.0,376,28
2016,youtu.be,157.0,1095.0,1252,23
2016,youtube.com,1807.0,8711.0,10518,78
2017,4shared.com,206.0,16.0,222,33
2017,facebook.com,8038.0,7471.0,15509,78
2017,filosofiadoestupro.net,47.0,6083.0,6130,4
2017,globo.com,29.0,31.0,60,1
2017,google.com,91.0,65.0,156,12
2017,google.com.br,1230.0,158.0,1388,78
2017,imagefap.com,297.0,23.0,320,46
2017,imgbox.com,52.0,4.0,56,11
2017,imgsrc.ru,298.0,168.0,466,45
2017,instagram.com,475.0,632.0,1107,63
2017,mail.ru,25.0,8.0,33,1
2017,mega.nz,81.0,8.0,89,9
2017,periscope.tv,63.0,62.0,125,5
2017,pornhub.com,469.0,101.0,570,61
2017,pscp.tv,38.0,18.0,56,5
2017,pure18.com,39.0,11.0,50,4
2017,tumblr.com,41.0,2.0,43,2
2017,twitter.com,2770.0,6127.0,8897,78
2017,uol.com.br,124.0,214.0,338,15
2017,url-img.link,47.0,8.0,55,8
2017,whatsapp.com,72.0,48.0,120,13
2017,xhamster.com,108.0,23.0,131,23
2017,xnxx.com,61.0,8.0,69,13
2017,xvideos.com,2114.0,676.0,2790,78
2017,youtu.be,85.0,68.0,153,10
2017,youtube.com,1288.0,1036.0,2324,78
2018,155chan.gr,243.0,600.0,843,42
2018,155chan.top,39.0,62.0,101,5
2018,4shared.com,38.0,1.0,39,3
2018,facebook.com,17071.0,7603.0,24674,78
2018,google.com,46.0,30.0,76,12
2018,google.com.br,1049.0,103.0,1152,55
2018,imagefap.com,442.0,58.0,500,10
2018,imgsrc.ru,247.0,163.0,410,31
2018,instagram.com,1625.0,3400.0,5025,78
2018,jpg4.club,44.0,2.0,46,12
2018,mail.ru,110.0,6.0,116,15
2018,mega.nz,553.0,117.0,670,51
2018,nnhoney.com,78.0,2.0,80,10
2018,off-cams.com,44.0,8.0,52,9
2018,openload.co,42.0,4.0,46,3
2018,peticaopublica.com.br,953.0,4945.0,5898,10
2018,pornhub.com,340.0,75.0,415,35
2018,riodenojeira.com,228.0,33885.0,34113,1
2018,riodenojeira.xyz,43.0,1787.0,1830,6
2018,t.co,147.0,3347.0,3494,1
2018,tumblr.com,682.0,110.0,792,45
2018,twitter.com,3430.0,2210.0,5640,78
2018,vk.com,67.0,19.0,86,5
2018,whatsapp.com,101.0,59.0,160,17
2018,xvideos.com,1749.0,479.0,2228,78
2018,youtu.be,191.0,98.0,289,24
2018,youtube.com,1025.0,361.0,1386,66
