Período,Domínio,Únicas,Duplicadas,Total
01/07/2007 a 31/07/2007,littlelupe.com,7,4,11
01/07/2007 a 31/07/2007,imgsrc.ru,9,2,11
,,,,
01/08/2007 a 31/08/2007,youtube.com,17,7,24
01/08/2007 a 31/08/2007,pornotube.com,8,4,12
01/08/2007 a 31/08/2007,imageshack.us,20,42,62
01/08/2007 a 31/08/2007,yahoo.com,14,9,23
01/08/2007 a 31/08/2007,powerscrap.com,43,60,103
01/08/2007 a 31/08/2007,orkut.com,4722,61546,66268
01/08/2007 a 31/08/2007,uol.com.br,23,22,45
01/08/2007 a 31/08/2007,blogger.com,9,28,37
01/08/2007 a 31/08/2007,chueca.com,21,12,33
01/08/2007 a 31/08/2007,orkut.com.br,8,4,12
,,,,
01/09/2007 a 30/09/2007,youtube.com,13,2,15
01/09/2007 a 30/09/2007,yahoo.com,22,4,26
01/09/2007 a 30/09/2007,glamour-new-preview.com,15,23,38
01/09/2007 a 30/09/2007,powerscrap.com,31,113,144
01/09/2007 a 30/09/2007,rapidshare.com,8,0,8
01/09/2007 a 30/09/2007,orkut.com,4269,44106,48375
01/09/2007 a 30/09/2007,uol.com.br,41,15,56
01/09/2007 a 30/09/2007,orku.com,7,0,7
01/09/2007 a 30/09/2007,www.com,14,9,23
,,,,
01/10/2007 a 31/10/2007,nafoto.net,8,0,8
01/10/2007 a 31/10/2007,youtube.com,15,0,15
01/10/2007 a 31/10/2007,imageshack.us,12,2,14
01/10/2007 a 31/10/2007,ucgalleries.com,16,25,41
01/10/2007 a 31/10/2007,rapidshare.com,7,0,7
01/10/2007 a 31/10/2007,clickgratis.com.br,53,5,58
01/10/2007 a 31/10/2007,orkut.com,4410,33542,37952
01/10/2007 a 31/10/2007,uol.com.br,42,24,66
01/10/2007 a 31/10/2007,www.orkutcom,19,0,19
01/10/2007 a 31/10/2007,www.com,113,93,206
,,,,
01/11/2007 a 30/11/2007,pedia.ws,4,0,4
01/11/2007 a 30/11/2007,euodeioomerdil.blogspot.com,5,8,13
01/11/2007 a 30/11/2007,nafoto.net,9,10,19
01/11/2007 a 30/11/2007,youtube.com,13,1,14
01/11/2007 a 30/11/2007,imageshack.us,4,0,4
01/11/2007 a 30/11/2007,orkut.com,6792,51660,58452
01/11/2007 a 30/11/2007,uol.com.br,46,140,186
01/11/2007 a 30/11/2007,blboys.com,4,3,7
01/11/2007 a 30/11/2007,wikipedia.org.br,4,1,5
,,,,
01/12/2007 a 31/12/2007,paran.com,8,50,58
01/12/2007 a 31/12/2007,youtube.com,18,1,19
01/12/2007 a 31/12/2007,imageshack.us,6,0,6
01/12/2007 a 31/12/2007,rapidshare.com,8,0,8
01/12/2007 a 31/12/2007,flickr.com,5,28,33
01/12/2007 a 31/12/2007,110mb.com,24,5,29
01/12/2007 a 31/12/2007,orkut.com,4684,34778,39462
01/12/2007 a 31/12/2007,uol.com.br,32,20,52
01/12/2007 a 31/12/2007,imagebam.com,7,18,25
01/12/2007 a 31/12/2007,imgsrc.ru,9,8,17
,,,,
01/01/2008 a 31/01/2008,youtube.com,18,10,28
01/01/2008 a 31/01/2008,powerscrap.com,28,0,28
01/01/2008 a 31/01/2008,solsem.org,29,4,33
01/01/2008 a 31/01/2008,110mb.com,66,60,126
01/01/2008 a 31/01/2008,orkut.com,5614,37347,42961
01/01/2008 a 31/01/2008,uol.com.br,42,23,65
01/01/2008 a 31/01/2008,chueca.com,16,8,24
01/01/2008 a 31/01/2008,lustbare.info,9,13,22
01/01/2008 a 31/01/2008,imagefap.com,15,0,15
01/01/2008 a 31/01/2008,imgsrc.ru,11,18,29
,,,,
01/02/2008 a 29/02/2008,youtube.com,10,3,13
01/02/2008 a 29/02/2008,imageshack.us,16,2,18
01/02/2008 a 29/02/2008,uploadqueen.com,11,6,17
01/02/2008 a 29/02/2008,usercash.com,25,0,25
01/02/2008 a 29/02/2008,orkut.com,6027,31666,37693
01/02/2008 a 29/02/2008,uol.com.br,35,31,66
01/02/2008 a 29/02/2008,chueca.com,11,4,15
01/02/2008 a 29/02/2008,imagevenue.com,12,0,12
01/02/2008 a 29/02/2008,imagefap.com,17,1,18
01/02/2008 a 29/02/2008,imgsrc.ru,30,2,32
,,,,
01/03/2008 a 31/03/2008,nijiura.com,5,4,9
01/03/2008 a 31/03/2008,youtube.com,23,5,28
01/03/2008 a 31/03/2008,dreamwiz.com,6,1,7
01/03/2008 a 31/03/2008,ig.com.br,6,0,6
01/03/2008 a 31/03/2008,mclt-sites.net,5,3,8
01/03/2008 a 31/03/2008,110mb.com,6,31,37
01/03/2008 a 31/03/2008,orkut.com,5559,34562,40121
01/03/2008 a 31/03/2008,uol.com.br,27,15,42
01/03/2008 a 31/03/2008,imagevenue.com,7,0,7
01/03/2008 a 31/03/2008,imagefap.com,10,1,11
,,,,
01/04/2008 a 30/04/2008,youtube.com,16,3,19
01/04/2008 a 30/04/2008,orkut.com,6129,35645,41774
01/04/2008 a 30/04/2008,uol.com.br,25,19,44
01/04/2008 a 30/04/2008,magazine-fashion.net,7,12,19
01/04/2008 a 30/04/2008,orkut.com.br,82,23,105
01/04/2008 a 30/04/2008,freewebs.com,7,32,39
01/04/2008 a 30/04/2008,vipzax.com,8,1,9
01/04/2008 a 30/04/2008,imagevenue.com,7,5,12
01/04/2008 a 30/04/2008,imagefap.com,8,0,8
,,,,
01/05/2008 a 31/05/2008,youtube.com,27,10,37
01/05/2008 a 31/05/2008,lopix.net,7,1,8
01/05/2008 a 31/05/2008,imageshack.us,8,0,8
